,Date,Unix,Ticker,Debt Equity Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Difference Stocl,Difference stock
122,2004-05-12 18:46:27,1084412787.0,adi,0.0,45.04,-10.811881188118813,1097.280029,-3.643403871837083,-7.168477316281729,-10.811881188118813,-7.168477316281729
123,2004-06-22 09:09:13,1087920553.0,adi,0.0,45.03,-10.831683168316829,1134.410034,-0.38286799998474985,-10.448815168332079,-10.831683168316829,-10.448815168332079
124,2004-08-10 02:07:28,1092128848.0,adi,0.0,35.92,-28.87128712871287,1079.040039,-5.24513114597098,-23.62615598274189,-28.87128712871287,-23.62615598274189
125,2004-11-11 09:56:15,1100195775.0,adi,0.0,38.5,-23.762376237623762,1173.47998,3.0480219351050475,-26.81039817272881,-23.762376237623762,-26.81039817272881
126,2005-01-24 03:34:28,1106566468.0,adi,0.0,34.47,-31.742574257425744,1163.75,2.1935930487527298,-33.936167306178476,-31.742574257425744,-33.936167306178476
127,2005-03-17 01:05:45,1111046745.0,adi,0.0,35.92,-28.87128712871287,1190.209961,4.517149213324047,-33.38843634203692,-28.87128712871287,-33.38843634203692
128,2005-04-08 23:33:20,1113028400.0,adi,0.0,35.67,-29.366336633663366,1181.199951,3.725943803824422,-33.09228043748779,-29.366336633663366,-33.09228043748779
129,2005-09-07 23:00:53,1126159253.0,adi,0.0,36.88,-26.970297029702966,1236.359985,8.569769425436764,-35.54006645513973,-26.970297029702966,-35.54006645513973
130,2005-10-31 08:19:48,1130771988.0,adi,0.0,34.61,-31.465346534653467,1207.01001,5.992429445938526,-37.45777598059199,-31.465346534653467,-37.45777598059199
131,2011-08-05 04:12:35,1312542755.0,adi,25.32,31.63,-37.366336633663366,1199.380005,5.3224078554509235,-42.68874448911429,-37.366336633663366,-42.68874448911429
132,2012-03-19 11:50:51,1332183051.0,adi,22.65,39.7,-21.38613861386138,1409.75,23.795847734031504,-45.18198634789289,-21.38613861386138,-45.18198634789289
133,2013-04-22 02:24:41,1366622681.0,adi,17.57,42.36,-16.11881188118812,1562.5,37.20944286889464,-53.32825475008276,-16.11881188118812,-53.32825475008276
134,2003-11-12 17:41:28,1068687688.0,adm,0.733,14.48,0.0,1058.530029,0.0,0.0,0.0,0.0
135,2004-04-14 16:44:25,1081986265.0,adm,0.789,16.81,16.091160220994464,1128.170044,6.578936174894283,9.512224046100181,16.091160220994464,9.512224046100181
136,2004-11-30 07:08:52,1101827332.0,adm,0.613,21.23,46.61602209944751,1173.819946,10.891511231751752,35.72451086769576,46.61602209944751,35.72451086769576
137,2005-01-26 00:58:06,1106729886.0,adm,0.613,22.65,56.42265193370164,1174.069946,10.915128889555579,45.507523044146055,56.42265193370164,45.507523044146055
138,2005-02-08 21:21:16,1107926476.0,adm,0.613,23.71,63.74309392265194,1202.300049,13.58204453923904,50.161049383412895,63.74309392265194,50.161049383412895
139,2005-02-14 20:39:46,1108442386.0,adm,0.528,24.5,69.1988950276243,1206.140015,13.944808551104405,55.2540864765199,69.1988950276243,55.2540864765199
140,2006-04-06 18:53:48,1144374828.0,adm,0.52,37.05,155.87016574585633,1309.040039,23.66583877045589,132.20432697540045,155.87016574585633,132.20432697540045
141,2006-04-07 06:53:49,1144418029.0,adm,0.52,36.92,154.97237569060772,1295.5,22.386702739445855,132.58567295116185,154.97237569060772,132.58567295116185
142,2006-04-12 00:58:21,1144828701.0,adm,0.52,36.55,152.4171270718232,1288.119995,21.689509008723647,130.72761806309956,152.4171270718232,130.72761806309956
143,2006-04-24 19:49:42,1145933382.0,adm,0.52,38.45,165.5386740331492,1308.109985,23.577975982011562,141.96069805113763,165.5386740331492,141.96069805113763
144,2006-04-28 06:30:41,1146231041.0,adm,0.52,36.19,149.9309392265193,1310.609985,23.814152560049862,126.11678666646945,149.9309392265193,126.11678666646945
145,2006-05-16 14:27:00,1147814820.0,adm,0.514,43.1,197.65193370165747,1292.079956,22.06360902398169,175.58832467767579,197.65193370165747,175.58832467767579
146,2007-02-20 08:05:08,1171987508.0,adm,0.541,35.88,147.79005524861878,1459.680054,37.89689607379101,109.89315917482777,147.79005524861878,109.89315917482777
147,2007-03-07 08:11:55,1173283915.0,adm,0.541,32.96,127.62430939226519,1391.969971,31.50028179313938,96.12402759912581,127.62430939226519,96.12402759912581
